Player Name,p(MVP),p(DPOY),p(ROY),p(SMOY)
Furkan Korkmaz,0.269,1.759,0.0,0.0
Gabe Vincent,1.998,2.994,0.0,9.03
Garrett Temple,0.189,1.059,0.0,2.053
Garrison Mathews,0.462,2.066,0.0,0.133
Gary Harris,0.804,2.032,0.0,0.0
Gary Trent Jr.,4.078,5.186,0.0,0.0
George Hill,0.971,2.771,0.0,1.083
Georges Niang,3.802,3.795,0.0,60.133
Giannis Antetokounmpo,96.578,50.023,0.0,0.0
Goga Bitadze,0.447,3.808,0.0,1.196
Goran Dragić,2.533,2.311,0.0,6.126
Gordon Hayward,6.769,4.767,0.0,0.0
Gorgui Dieng,0.295,3.438,0.0,2.966
Grant Williams,12.011,8.065,0.0,46.215
Grayson Allen,8.649,4.931,0.0,0.0
Greg Brown III,0.047,2.358,0.0,1.0
Hamidou Diallo,1.068,3.827,0.0,11.839
Harrison Barnes,10.278,7.887,0.0,0.0
Haywood Highsmith,0.66,4.349,0.0,0.0
Herbert Jones,4.284,10.329,0.0,0.0
Immanuel Quickley,10.916,8.398,0.0,28.03
Isaac Okoro,0.377,3.247,0.0,1.083
Isaiah Hartenstein,15.708,19.661,0.0,49.015
Isaiah Jackson,4.308,15.752,0.0,13.36
Isaiah Joe,0.401,1.887,0.0,0.0
Isaiah Livers,1.037,5.522,0.0,6.374
Isaiah Mobley,0.216,1.574,1.543,0.0
Isaiah Roby,0.965,4.02,0.0,4.035
Isaiah Stewart,27.572,19.911,0.0,0.0
Isaiah Todd,0.006,0.999,0.0,0.0
Ish Smith,0.244,2.892,0.0,0.0
Ish Wainright,0.678,1.604,0.0,0.0
Ivica Zubac,86.858,63.969,0.0,0.0
Ja Morant,88.634,11.144,0.0,0.0
Jabari Smith Jr.,26.373,20.268,90.734,0.0
Jabari Walker,0.19,1.936,6.317,1.0
Jack White,0.019,1.645,0.415,0.0
Jaden Hardy,0.021,1.273,0.495,0.0
Jaden Ivey,27.792,8.697,99.917,0.0
Jaden McDaniels,8.294,21.508,0.0,0.0
Jaden Springer,0.105,2.331,0.0,0.0
Jae'Sean Tate,1.224,0.942,0.0,0.0
Jake LaRavia,1.065,3.162,18.339,0.636
Jakob Poeltl,73.047,30.614,0.0,0.0
Jalen Brunson,58.393,7.735,0.0,0.0
Jalen Duren,8.544,14.135,68.604,33.005
Jalen Green,42.141,6.384,0.0,0.0
Jalen Johnson,0.618,4.924,0.0,4.194
Jalen McDaniels,12.616,12.03,0.0,40.065
Jalen Smith,21.274,16.665,0.0,0.0
Jalen Suggs,9.16,6.307,0.0,0.0
Jalen Williams,3.61,4.512,94.612,25.121
Jamal Cain,0.232,1.442,7.922,1.0
Jamal Murray,20.888,5.45,0.0,0.0
James Bouknight,0.582,3.185,0.0,0.095
James Harden,57.608,15.381,0.0,0.0
James Johnson,0.073,2.097,0.0,0.0
James Wiseman,0.647,4.062,0.0,8.125
JaMychal Green,1.327,5.546,0.0,6.527
Jaren Jackson Jr.,1.413,66.922,0.0,0.0
Jarred Vanderbilt,47.889,18.939,0.0,0.0
Jarrett Allen,44.607,41.651,0.0,0.0
Jarrett Culver,0.121,2.653,0.0,0.0
Jason Preston,0.174,0.999,2.272,0.0
JaVale McGee,0.399,3.702,0.0,2.0
Javonte Green,2.521,9.134,0.0,25.238
Jaxson Hayes,0.044,1.758,0.0,0.0
Jaylen Brown,69.026,13.974,0.0,0.0
Jaylen Nowell,3.312,3.73,0.0,62.0
Jaylin Williams,0.102,1.272,3.514,0.0
Jayson Tatum,97.954,40.931,0.0,0.0
JD Davison,0.021,0.92,0.88,0.0
Jeff Dowtin,0.18,1.488,0.0,1.0
Jeff Green,0.78,2.553,0.0,12.776
Jerami Grant,61.433,18.926,0.0,0.0
Jeremiah Robinson-Earl,7.68,9.015,0.0,0.0
Jeremy Sochan,3.306,8.173,81.115,0.0
Jericho Sims,2.277,9.256,0.0,7.0
Jevon Carter,12.015,12.424,0.0,0.0
Jimmy Butler,43.793,6.964,0.0,0.0
Jock Landale,0.966,5.526,0.0,10.671
Joe Harris,2.903,4.678,0.0,0.0
Joel Embiid,84.978,58.84,0.0,0.0
John Butler,0.01,1.661,1.226,0.0
John Collins,40.522,48.567,0.0,0.0
John Konchar,17.971,12.902,0.0,0.0
John Wall,9.201,5.218,0.0,64.0
Johnny Davis,0.04,1.347,0.928,0.0
Jonas Valančiūnas,54.234,11.441,0.0,0.0
Jonathan Kuminga,0.757,5.107,0.0,1.171
Jordan Clarkson,65.389,5.235,0.0,0.0
Jordan Goodwin,5.11,8.137,0.0,24.541
Jordan Hall,0.107,1.37,6.851,0.0
Jordan McLaughlin,0.62,2.222,0.0,8.091
Jordan Nwora,1.772,3.426,0.0,3.291
Jordan Poole,16.223,5.062,0.0,67.0
Jordan Schakel,0.982,0.693,0.0,1.0
Jose Alvarado,4.789,6.071,0.0,19.94
Josh Christopher,0.146,1.39,0.0,0.0
Josh Giddey,54.029,11.694,0.0,0.0
Josh Green,1.662,3.348,0.0,43.311
Josh Hart,58.259,19.096,0.0,0.0
Josh Minott,0.474,5.36,16.191,3.0
Josh Okogie,0.082,2.417,0.0,0.0
Josh Richardson,2.806,2.778,0.0,7.019
Joshua Primo,0.622,4.189,0.0,7.109
Jrue Holiday,53.637,12.328,0.0,0.0
JT Thor,0.161,2.889,0.0,0.0
Juan Toscano-Anderson,0.124,2.57,0.0,0.0
Juancho Hernangómez,0.964,4.303,0.0,6.602
Julian Champagnie,0.016,0.693,0.418,1.0
Julius Randle,83.489,13.587,0.0,0.0
Justin Champagnie,0.327,1.417,0.0,1.0
Justin Holiday,0.395,2.264,0.0,6.091
Justin Jackson,0.091,1.255,0.0,0.0
Justise Winslow,13.505,9.432,0.0,17.03
Jusuf Nurkić,72.553,29.286,0.0,0.0
Kai Jones,0.267,3.315,0.0,1.0
Karl-Anthony Towns,90.586,23.229,0.0,0.0
Kawhi Leonard,0.621,2.876,0.0,0.0
Keegan Murray,3.298,8.279,54.813,0.0
Keita Bates-Diop,1.122,3.2,0.0,19.296
Keldon Johnson,41.254,6.87,0.0,0.0
Kelly Olynyk,59.869,22.953,0.0,0.0
Kelly Oubre Jr.,24.317,16.318,0.0,0.0
Kendall Brown,0.247,0.48,2.894,9.0
Kendrick Nunn,0.363,1.79,0.0,0.088
Kennedy Chandler,0.135,1.849,15.039,0.0
Kenneth Lofton Jr.,0.073,1.185,2.472,0.0
Kenrich Williams,2.421,3.771,0.0,15.123
Kentavious Caldwell-Pope,13.507,9.605,0.0,0.0
Kenyon Martin Jr.,10.234,8.178,0.0,65.091
Keon Ellis,0.016,0.999,0.291,1.0
Keon Johnson,0.413,2.159,0.0,0.12
Kessler Edwards,0.076,1.243,0.0,0.0
Kevin Durant,98.231,53.016,0.0,0.0
Kevin Huerter,30.969,9.471,0.0,0.0
Kevin Knox,0.427,3.36,0.0,1.0
Kevin Love,19.119,8.888,0.0,29.28
Kevin Porter Jr.,76.121,15.726,0.0,0.0
Kevon Harris,0.353,1.929,6.498,0.0
Kevon Looney,21.133,9.356,0.0,0.0
Khem Birch,0.619,1.344,0.0,2.0
Killian Hayes,8.847,9.208,0.0,14.019
Klay Thompson,15.295,5.344,0.0,0.0
Kristaps Porziņģis,91.74,51.213,0.0,0.0
Kyle Anderson,5.885,11.676,0.0,22.034
Kyle Kuzma,73.876,14.209,0.0,0.0
Kyle Lowry,73.409,16.123,0.0,0.0
Kyrie Irving,28.596,14.579,0.0,0.0
KZ Okpala,0.216,1.655,0.0,0.0
Lamar Stevens,0.438,4.478,0.0,0.0
LaMelo Ball,2.46,2.805,0.0,0.0
Landry Shamet,0.378,1.714,0.0,1.072
Larry Nance Jr.,16.114,13.736,0.0,51.0
Lauri Markkanen,91.375,18.298,0.0,0.0
Leandro Bolmaro,0.035,1.131,0.0,1.0
LeBron James,80.258,24.804,0.0,0.0
Lindy Waters III,0.048,1.286,0.0,1.0
Lonnie Walker IV,4.23,4.933,0.0,0.0
Luguentz Dort,16.718,11.285,0.0,0.0
Luka Dončić,99.213,41.882,0.0,0.0
Luka Garza,0.016,0.999,0.0,1.0
Luke Kennard,1.25,2.478,0.0,0.0
Luke Kornet,2.91,9.429,0.0,14.227
Malachi Flynn,0.608,1.83,0.0,0.13
Malaki Branham,0.181,1.45,18.319,0.0
Malcolm Brogdon,20.302,4.264,0.0,74.0
Malcolm Hill,0.017,1.108,0.0,1.0
Malik Beasley,22.26,9.633,0.0,78.0
Malik Monk,11.26,3.666,0.0,74.0
Mamadi Diakite,0.201,1.874,0.0,0.0
Marcus Morris,19.265,11.054,0.0,0.0
Marcus Smart,41.448,6.774,0.0,0.0
MarJon Beauchamp,0.438,2.372,8.913,0.0
Mark Williams,0.165,1.564,2.492,1.0
Markelle Fultz,0.132,0.759,0.0,0.0
Markieff Morris,0.71,2.331,0.0,0.0
Marko Simonovic,0.016,0.999,0.0,1.0
Marvin Bagley III,3.459,8.532,0.0,0.0
Mason Plumlee,54.927,16.492,0.0,0.0
Matisse Thybulle,0.14,3.366,0.0,0.0
Matt Ryan,0.261,1.345,0.0,0.0
Matthew Dellavedova,0.136,0.996,0.0,1.0
Max Christie,0.404,1.91,4.091,0.0
Max Strus,11.815,6.411,0.0,0.0
Maxi Kleber,0.953,6.601,0.0,3.049
McKinley Wright IV,0.082,0.63,0.0,3.0
Mfiondu Kabengele,0.06,1.422,0.0,1.0
Micah Potter,0.371,1.417,0.0,2.0
Michael Foster Jr.,0.016,0.999,0.291,1.0
Michael Porter Jr.,16.871,8.994,0.0,0.0
Mikal Bridges,56.456,28.458,0.0,0.0
Mike Conley,25.682,4.739,0.0,0.0
Mike Muscala,0.67,5.436,0.0,4.077
Miles McBride,0.053,1.037,0.0,0.0
Mitchell Robinson,10.851,39.282,0.0,0.0
Mo Bamba,4.691,8.593,0.0,9.191
Monte Morris,12.987,5.549,0.0,0.0
Montrezl Harrell,0.693,3.401,0.0,3.0
Moritz Wagner,0.324,4.822,0.0,7.054
Moses Brown,0.308,2.201,0.0,2.0
Moses Moody,0.402,2.965,0.0,0.08
Moussa Diabaté,0.258,1.886,7.915,3.0
Myles Turner,57.36,77.437,0.0,0.0
Naji Marshall,1.621,3.443,0.0,3.481
Nassir Little,0.957,2.678,0.0,8.746
Nathan Knight,0.035,1.229,0.0,0.0
Naz Reid,0.891,6.187,0.0,6.214
Nerlens Noel,0.134,2.722,0.0,0.0
Nic Claxton,70.637,66.184,0.0,0.0
Nick Richards,9.913,9.359,0.0,47.224
Nickeil Alexander-Walker,0.318,2.169,0.0,0.0
Nicolas Batum,4.831,11.527,0.0,8.44
Nikola Jokić,98.062,32.889,0.0,0.0
Nikola Jović,0.25,2.011,20.003,0.0
Nikola Vučević,89.29,32.782,0.0,0.0
Noah Vonleh,0.399,2.899,0.0,0.0
Norman Powell,7.294,6.263,0.0,72.0
Obi Toppin,3.484,4.433,0.0,13.047
Ochai Agbaji,0.055,1.346,1.763,1.0
OG Anunoby,57.098,50.468,0.0,0.0
Onyeka Okongwu,8.443,12.676,0.0,37.444
Orlando Robinson,0.171,3.191,28.964,2.019
Oshae Brissett,0.436,2.596,0.0,0.0
Otto Porter Jr.,0.351,1.196,0.0,8.553
Ousmane Dieng,0.307,3.101,25.826,2.091
P.J. Tucker,2.76,5.677,0.0,0.0
P.J. Washington,22.599,13.848,0.0,0.0
Paolo Banchero,30.17,17.404,99.987,0.0
Pascal Siakam,68.644,20.495,0.0,0.0
Pat Connaughton,0.131,1.375,0.0,2.077
Patrick Baldwin Jr.,0.034,1.045,3.105,6.0
Patrick Beverley,1.426,6.698,0.0,0.0
Patrick Williams,8.667,14.446,0.0,0.0
Patty Mills,0.346,1.582,0.0,0.08
Paul George,54.616,14.797,0.0,0.0
Paul Reed,1.615,11.32,0.0,11.0
Payton Pritchard,0.449,1.594,0.0,0.0
Peyton Watson,0.04,1.069,0.601,0.0
Precious Achiuwa,2.402,9.878,0.0,2.102
Quentin Grimes,0.467,2.939,0.0,0.0
R.J. Hampton,1.012,3.377,0.0,6.107
Raul Neto,0.215,1.413,0.0,0.0
Reggie Bullock,0.767,4.102,0.0,0.0
Reggie Jackson,15.644,4.198,0.0,0.0
Richaun Holmes,0.495,1.805,0.0,1.0
RJ Barrett,25.758,5.296,0.0,0.0
Robert Covington,1.45,6.668,0.0,0.083
Robin Lopez,0.276,1.361,0.0,1.0
Rodney McGruder,0.094,1.384,0.0,0.0
Romeo Langford,0.325,2.45,0.0,2.0
Ron Harper Jr.,0.644,1.19,1.359,0.0
Royce O'Neale,66.715,21.684,0.0,0.0
Rudy Gay,0.426,5.024,0.0,0.0
Rudy Gobert,74.858,54.448,0.0,0.0
Rui Hachimura,3.377,7.376,0.0,25.053
Russell Westbrook,57.959,10.421,0.0,63.0
Ryan Arcidiacono,0.02,0.996,0.0,1.0
Ryan Rollins,0.134,1.346,1.872,0.0
Saben Lee,0.089,0.693,0.0,4.0
Saddiq Bey,5.897,6.31,0.0,0.0
Sam Hauser,2.094,3.324,0.0,49.133
Sandro Mamukelashvili,0.053,1.336,0.0,0.0
Santi Aldama,11.194,17.895,0.0,0.0
Scottie Barnes,51.104,19.29,0.0,0.0
Scotty Pippen Jr.,0.022,1.19,0.544,0.0
Serge Ibaka,0.648,3.133,0.0,2.0
Seth Curry,2.021,3.305,0.0,22.066
Shaedon Sharpe,1.155,2.571,25.043,15.194
Shai Gilgeous-Alexander,89.598,37.392,0.0,0.0
Shake Milton,7.14,3.28,0.0,49.053
Simone Fontecchio,0.241,1.656,3.104,0.0
Spencer Dinwiddie,29.636,6.266,0.0,0.0
Stephen Curry,98.435,14.925,0.0,0.0
Steven Adams,60.44,27.286,0.0,0.0
Svi Mykhailiuk,1.847,1.263,0.0,1.0
T.J. McConnell,4.571,6.689,0.0,16.083
Taj Gibson,0.147,1.766,0.0,0.0
Talen Horton-Tucker,2.515,6.703,0.0,6.03
Tari Eason,6.538,12.718,33.733,17.076
Taurean Prince,1.318,3.092,0.0,15.32
Terance Mann,3.496,4.219,0.0,18.307
Terence Davis,2.397,4.608,0.0,24.966
Terrence Ross,1.896,3.796,0.0,21.979
Terry Rozier,18.683,3.917,0.0,0.0
Terry Taylor,0.151,1.949,0.0,0.0
Thaddeus Young,1.846,4.249,0.0,14.738
Thanasis Antetokounmpo,0.023,1.385,0.0,0.0
Théo Maledon,1.836,4.574,0.0,8.015
Theo Pinson,0.028,1.401,0.0,1.0
Thomas Bryant,1.14,10.464,0.0,6.0
Tim Hardaway Jr.,2.279,3.595,0.0,41.031
Tobias Harris,40.17,18.497,0.0,0.0
Tony Bradley,0.196,1.267,0.0,0.0
Torrey Craig,9.544,10.827,0.0,0.0
Trae Young,86.698,3.727,0.0,0.0
Tre Jones,33.654,7.895,0.0,0.0
Tre Mann,1.944,4.296,0.0,29.201
Trendon Watford,1.092,2.603,0.0,8.78
Trent Forrest,0.12,1.096,0.0,0.0
Trevor Hudgins,10.131,0.999,1.959,4.0
Trevor Keels,0.021,1.422,0.389,0.0
Trey Lyles,0.862,3.351,0.0,7.232
Trey Murphy III,11.056,9.069,0.0,81.0
Troy Brown Jr.,2.385,5.035,0.0,0.0
Ty Jerome,0.393,1.52,0.0,2.236
Tyler Dorsey,1.768,1.422,0.0,7.0
Tyler Herro,27.08,13.832,0.0,0.0
Tyrese Haliburton,96.731,17.345,0.0,0.0
Tyrese Martin,0.086,1.096,1.006,0.0
Tyrese Maxey,22.513,5.27,0.0,0.0
TyTy Washington Jr.,0.016,0.999,0.361,1.0
Tyus Jones,6.075,2.796,0.0,39.019
Udoka Azubuike,0.324,2.134,0.0,3.0
Udonis Haslem,0.031,1.586,0.0,0.0
Usman Garuba,9.628,12.028,0.0,18.136
Vernon Carey Jr.,0.017,1.108,0.0,1.0
Vince Williams Jr.,0.02,1.237,2.3,0.0
Vit Krejci,0.037,1.099,0.0,0.0
Vlatko Čančar,0.52,2.42,0.0,0.053
Walker Kessler,7.336,19.475,54.964,22.614
Wendell Carter Jr.,45.257,16.803,0.0,0.0
Wendell Moore Jr.,0.066,1.667,1.984,0.0
Wenyen Gabriel,1.55,5.304,0.0,7.145
Wesley Matthews,0.359,2.436,0.0,0.0
Will Barton,4.064,5.985,0.0,2.03
Willy Hernangómez,0.232,2.287,0.0,0.0
Xavier Tillman Sr.,0.311,1.974,0.0,2.0
Yuta Watanabe,2.454,4.059,0.0,20.269
Zach Collins,4.955,14.411,0.0,11.31
Zach LaVine,27.214,5.15,0.0,0.0
Zeke Nnaji,0.221,1.378,0.0,1.0
Zion Williamson,44.379,13.119,0.0,0.0
